"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"S451","MX1A_no3d","197.26625mm","9.20125mm","197.26625mm","9.20125mm","193.45625mm","11.74125mm","T","0","MX1A",
"S46","MX1A","180.5975mm","85.39998mm","180.5975mm","85.39998mm","176.7875mm","87.93998mm","T","0","MX1A",
"S47","MX1A","190.1225mm","66.34998mm","190.1225mm","66.34998mm","186.3125mm","68.88998mm","T","0","MX1A",
"S48","MX1A","194.885mm","47.29998mm","194.885mm","47.29998mm","191.075mm","49.83998mm","T","0","MX1A",
"S49","MX1A","185.36mm","28.24998mm","185.36mm","28.24998mm","181.55mm","30.78998mm","T","0","MX1A",
"S491","MX1A_no3d","180.5975mm","28.24998mm","180.5975mm","28.24998mm","176.7875mm","30.78998mm","T","0","MX1A",
"S5","MX1A","21.05375mm","9.20125mm","21.05375mm","9.20125mm","17.24375mm","11.74125mm","T","0","MX1A",
"S50","MX1A_no3d","275.8475mm","85.40125mm","275.8475mm","85.40125mm","272.0375mm","87.94125mm","T","0","MX1A",
"S51","MX1A","199.6475mm","85.39998mm","199.6475mm","85.39998mm","195.8375mm","87.93998mm","T","0","MX1A",
"S511","MX1A_no3d","11.52875mm","9.21268mm","11.52875mm","9.21268mm","7.71875mm","11.75268mm","T","0","MX1A",
"S512","MX1A_no3d","16.29125mm","9.20125mm","16.29125mm","9.20125mm","12.48125mm","11.74125mm","T","0","MX1A",
"S52","MX1A","209.1725mm","66.34998mm","209.1725mm","66.34998mm","205.3625mm","68.88998mm","T","0","MX1A",
"S53","MX1A","213.935mm","47.29998mm","213.935mm","47.29998mm","210.125mm","49.83998mm","T","0","MX1A",
"S54","MX1A","204.41mm","28.24998mm","204.41mm","28.24998mm","200.6mm","30.78998mm","T","0","MX1A",
"S541","MX1A_no3d","199.6475mm","28.24998mm","199.6475mm","28.24998mm","195.8375mm","30.78998mm","T","0","MX1A",
"S55","MX1A","211.55375mm","9.20125mm","211.55375mm","9.20125mm","207.74375mm","11.74125mm","T","0","MX1A",
"S551","MX1A_no3d","202.02875mm","9.20125mm","202.02875mm","9.20125mm","198.21875mm","11.74125mm","T","0","MX1A",
"S552","MX1A_no3d","218.6975mm","9.20125mm","218.6975mm","9.20125mm","214.8875mm","11.74125mm","T","0","MX1A",
"S56","MX1A","218.6975mm","85.39998mm","218.6975mm","85.39998mm","214.8875mm","87.93998mm","T","0","MX1A",
"S57","MX1A","228.2225mm","66.34998mm","228.2225mm","66.34998mm","224.4125mm","68.88998mm","T","0","MX1A",
"S58","MX1A","232.985mm","47.29998mm","232.985mm","47.29998mm","229.175mm","49.83998mm","T","0","MX1A",
"S59","MX1A","223.46mm","28.24998mm","223.46mm","28.24998mm","219.65mm","30.78998mm","T","0","MX1A",
"S591","MX1A_no3d","218.6975mm","28.24998mm","218.6975mm","28.24998mm","214.8875mm","30.78998mm","T","0","MX1A",
"S6","MX1A","28.1975mm","85.40125mm","28.1975mm","85.40125mm","32.0075mm","82.86125mm","T","180","MX1A",
"S60","MX1A","235.36625mm","9.20125mm","235.36625mm","9.20125mm","231.55625mm","11.74125mm","T","0","MX1A",
"S601","MX1A_no3d","225.84125mm","9.20125mm","225.84125mm","9.20125mm","222.03125mm","11.74125mm","T","0","MX1A",
