"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"HOLE","PKRH","132.71mm","78.92mm","132.71mm","78.92mm","132.96752mm","79.03875mm","T","90","VAL**",
"HOLE","PKRH","123.31498mm","64.22mm","123.31498mm","64.22mm","123.4475mm","64.33875mm","T","90","VAL**",
"HOLE","PKRH","137.71mm","22.42mm","137.71mm","22.42mm","137.71mm","22.42mm","T","90","VAL**",
"HOLE","PKRH","135.35375mm","22.42mm","135.35375mm","22.42mm","132.9725mm","22.42mm","T","90","VAL**",
"HOLE","PKRHSL","1.4589mm","38.0988mm","1.4589mm","38.0988mm","1.4589mm","38.0988mm","T","0","VAL**",
"HOLE","PKRH","139.41mm","0.02mm","139.41mm","0.02mm","139.41mm","0.02mm","T","90","VAL**",
"HOLE","PKRH","136.01mm","0.02mm","136.01mm","0.02mm","136.01mm","0.02mm","T","90","VAL**",
"HOLE","PKRH","137.71mm","12.42mm","137.71mm","12.42mm","137.71mm","12.42mm","T","90","VAL**",
"HOLE","PKRH","137.735mm","4.02mm","137.735mm","4.02mm","137.735mm","4.02mm","T","90","VAL**",
"HOLE","PKRH","135.35375mm","4.12mm","135.35375mm","4.12mm","132.9725mm","4.12mm","T","90","VAL**",
"HOLE","PKRH","135.35375mm","11.92mm","135.35375mm","11.92mm","132.9725mm","11.92mm","T","90","VAL**",
"HOLE","PKRH","135.35375mm","34.02mm","135.35375mm","34.02mm","132.9725mm","34.02mm","T","90","VAL**",
"HOLE","PKRH","137.735mm","35.82mm","137.735mm","35.82mm","137.735mm","35.82mm","T","90","VAL**",
"HOLE","PKRH","130.01mm","39.82mm","130.01mm","39.82mm","130.01mm","39.82mm","T","90","VAL**",
"HOLE","PKRH","126.41mm","54.82mm","126.41mm","54.82mm","126.41mm","54.82mm","T","90","VAL**",
"HOLE","PKRH","125.31mm","58.82mm","125.31mm","58.82mm","125.31mm","58.82mm","T","90","VAL**",
"HOLE","PKRH","134.62mm","94.59mm","134.62mm","94.59mm","134.62mm","94.59mm","T","90","VAL**",
"HOLE","PKRH","131.31mm","94.59mm","131.31mm","94.59mm","131.31mm","94.59mm","T","90","VAL**",
"HOLE","PKRH","132.71498mm","91.90125mm","132.71498mm","91.90125mm","132.9725mm","93.02mm","T","90","VAL**",
"HOLE","PKRH","123.31498mm","58.70125mm","123.31498mm","58.70125mm","123.4475mm","58.82mm","T","90","VAL**",
"HOLE","PKRH","128.11498mm","40.62mm","128.11498mm","40.62mm","128.21mm","40.73875mm","T","90","VAL**",
"HOLE","PKRH","131.39125mm","38.01502mm","131.39125mm","38.01502mm","132.9725mm","37.77498mm","T","0","VAL**",
"HOLE","PKRH","125.71mm","57.02mm","125.71mm","57.02mm","125.82875mm","56.82498mm","T","0","VAL**",
"HOLE","PKRH","128.21mm","75.87498mm","128.21mm","75.87498mm","128.21mm","75.87498mm","T","0","VAL**",
"HOLE","PKRH","128.21mm","47.46mm","128.21mm","47.46mm","128.21mm","47.46mm","T","0","VAL**",
"HOLE","PKRHSL","283.5412mm","38.0988mm","283.5412mm","38.0988mm","283.5412mm","38.0988mm","T","0","VAL**",
"HOLE","PKRH","260.0499mm","66.6992mm","260.0499mm","66.6992mm","260.0499mm","66.6992mm","T","0","VAL**",
"HOLE","PKRHC","25.1993mm","66.6992mm","25.1993mm","66.6992mm","25.1993mm","66.6992mm","T","0","VAL**",
"MXST","MXST","147.26mm","9.19998mm","147.26mm","9.19998mm","147.26mm","2.21498mm","T","180","VAL**",
"MXST","MXST","171.0725mm","9.19998mm","171.0725mm","9.19998mm","171.0725mm","2.21498mm","T","180","VAL**",
"MXST","MXST","94.8725mm","9.19998mm","94.8725mm","9.19998mm","94.8725mm","2.21498mm","T","180","VAL**",
"MXST","MXST","118.685mm","9.19998mm","118.685mm","9.19998mm","118.685mm","2.21498mm","T","180","VAL**",
"MXST","MXST","6.76625mm","28.24998mm","6.76625mm","28.24998mm","6.76625mm","35.23498mm","T","0","VAL**",
"MXST","MXST","30.57875mm","28.24998mm","30.57875mm","28.24998mm","30.57875mm","35.23498mm","T","0","VAL**",
"MXST","MXST","80.585mm","9.19998mm","80.585mm","9.19998mm","80.585mm","2.21498mm","T","180","VAL**",
"MXST","MXST","32.96mm","28.24998mm","32.96mm","28.24998mm","32.96mm","35.23498mm","T","0","VAL**",
"MXST","MXST","180.5975mm","9.19998mm","180.5975mm","9.19998mm","180.5975mm","2.21498mm","T","180","VAL**",
"MXST","MXST","175.835mm","9.19998mm","175.835mm","9.19998mm","175.835mm","2.21498mm","T","180","VAL**",
"MXST","MXST","168.69125mm","9.19998mm","168.69125mm","9.19998mm","168.69125mm","2.21498mm","T","180","VAL**",
"MXST","MXST","78.20375mm","9.19998mm","78.20375mm","9.19998mm","78.20375mm","2.21498mm","T","180","VAL**",
"MXST","MXST","104.3975mm","9.19998mm","104.3975mm","9.19998mm","104.3975mm","2.21498mm","T","180","VAL**",
"MXST","MXST","87.72875mm","9.19998mm","87.72875mm","9.19998mm","87.72875mm","2.21498mm","T","180","VAL**",
"MXST","MXST","111.54125mm","9.19998mm","111.54125mm","9.19998mm","111.54125mm","2.21498mm","T","180","VAL**",
"MXST","MXST","152.0225mm","9.19998mm","152.0225mm","9.19998mm","152.0225mm","2.21498mm","T","180","VAL**",
"MXST","MXST","278.23002mm","85.39998mm","278.23002mm","85.39998mm","278.23002mm","92.38498mm","T","0","VAL**",
"MXST","MXST","9.1475mm","28.24998mm","9.1475mm","28.24998mm","9.1475mm","35.23498mm","T","0","VAL**",
"MXST","MXST","247.2725mm","28.24998mm","247.2725mm","28.24998mm","247.2725mm","35.23498mm","T","0","VAL**",
"MXST","MXST","275.8475mm","47.30125mm","275.8475mm","47.30125mm","275.8475mm","54.28625mm","T","0","VAL**",
"MXST","MXST","252.035mm","47.29998mm","252.035mm","47.29998mm","252.035mm","54.28498mm","T","0","VAL**",
"MXST","MXST","273.46752mm","68.7325mm","273.46752mm","68.7325mm","266.48252mm","68.7325mm","T","90","VAL**",
"MXST","MXST","273.46752mm","44.92mm","273.46752mm","44.92mm","266.48252mm","44.92mm","T","90","VAL**",
"MXST","MXST","254.41752mm","85.39998mm","254.41752mm","85.39998mm","254.41752mm","92.38498mm","T","0","VAL**",
"MXST","MXST","144.87875mm","9.19998mm","144.87875mm","9.19998mm","144.87875mm","2.21498mm","T","180","VAL**",
"MXST","MXST","271.085mm","28.25125mm","271.085mm","28.25125mm","271.085mm","35.23625mm","T","0","VAL**",
"P3","Molex_KK-6410-06_06x2.54mm_Straight","2.31mm","62.42mm","2.31mm","62.42mm","2.31mm","62.42mm","T","90","CONN_6",
"REF**","MountingHole_2.5mm","199.64749mm","57.12mm","199.64749mm","57.12mm","199.64749mm","57.12mm","T","0","MountingHole_2.5mm",
"REF**","MountingHole_2.5mm","66.29751mm","57.12mm","66.29751mm","57.12mm","66.29751mm","57.12mm","T","0","MountingHole_2.5mm",
"REF**","MountingHole_2.5mm","142.4975mm","57.12mm","142.4975mm","57.12mm","142.4975mm","57.12mm","T","0","MountingHole_2.5mm",
"REF**","MountingHole_2.5mm","104.3975mm","57.12mm","104.3975mm","57.12mm","104.3975mm","57.12mm","T","0","MountingHole_2.5mm",
"S1","MX1A","9.1475mm","85.40125mm","9.1475mm","85.40125mm","12.9575mm","82.86125mm","T","180","MX1A",
"S10","MX1A","44.86625mm","9.20125mm","44.86625mm","9.20125mm","41.05625mm","11.74125mm","T","0","MX1A",
"S101","MX1A_no3d","35.34125mm","9.233mm","35.34125mm","9.233mm","31.53125mm","11.773mm","T","0","MX1A",
"S11","MX1A","47.2475mm","85.39998mm","47.2475mm","85.39998mm","43.4375mm","87.93998mm","T","0","MX1A",
"S12","MX1A","56.7725mm","66.34998mm","56.7725mm","66.34998mm","52.9625mm","68.88998mm","T","0","MX1A",
"S13","MX1A","61.535mm","47.29998mm","61.535mm","47.29998mm","57.725mm","49.83998mm","T","0","MX1A",
"S14","MX1A","52.01mm","28.24998mm","52.01mm","28.24998mm","48.2mm","30.78998mm","T","0","MX1A",
"S141","MX1A_no3d","47.2475mm","28.24998mm","47.2475mm","28.24998mm","43.4375mm","30.78998mm","T","0","MX1A",
